name,lower_ns,upper_ns,count
Cold bench,120,127,7
Cold bench,160,175,141
Cold bench,208,223,353
Cold bench,240,255,298
Cold bench,288,319,204
Cold bench,320,351,168
Cold bench,352,383,105
Cold bench,416,447,102
Cold bench,448,479,174
Cold bench,480,511,234
Cold bench,512,575,247
Cold bench,576,639,701
Cold bench,640,703,403
Cold bench,704,767,896
Cold bench,768,831,444
Cold bench,832,895,858
Cold bench,896,959,856
Cold bench,960,1023,378
Cold bench,1024,1151,990
Cold bench,1152,1279,727
Cold bench,1280,1407,501
Cold bench,1408,1535,279
Cold bench,1536,1663,152
Cold bench,1664,1791,100
Cold bench,1792,1919,82
Cold bench,1920,2047,34
Cold bench,2048,2303,58
Cold bench,2304,2559,30
Cold bench,2560,2815,30
Cold bench,2816,3071,19
Cold bench,3072,3327,35
Cold bench,3328,3583,41
Cold bench,3584,3839,46
Cold bench,3840,4095,32
Cold bench,4096,4607,35
Cold bench,4608,5119,37
Cold bench,5120,5631,16
Cold bench,5632,6143,13
Cold bench,6144,6655,17
Cold bench,6656,7167,18
Cold bench,7168,7679,9
Cold bench,7680,8191,11
Cold bench,8192,9215,8
Cold bench,9216,10239,6
Cold bench,10240,11263,4
Cold bench,11264,12287,1
Cold bench,12288,13311,1
Cold bench,13312,14335,4
Cold bench,14336,15359,4
Cold bench,15360,16383,3
Cold bench,16384,18431,7
Cold bench,18432,20479,12
Cold bench,20480,22527,9
Cold bench,22528,24575,16
Cold bench,24576,26623,11
Cold bench,26624,28671,10
Cold bench,28672,30719,8
Cold bench,30720,32767,4
Cold bench,32768,36863,4
Cold bench,36864,40959,1
Cold bench,90112,98303,2
Cold bench,212992,229375,1
Cold bench,262144,294911,1
Cold bench,720896,786431,2
Warm bench,0,0,98
Warm bench,40,43,102
Warm bench,80,87,1
Warm bench,320,351,11
Warm bench,352,383,111
Warm bench,416,447,425
Warm bench,448,479,859
Warm bench,480,511,863
Warm bench,512,575,420
Warm bench,576,639,339
Warm bench,640,703,62
Warm bench,704,767,57
Warm bench,768,831,14
Warm bench,832,895,106
Warm bench,896,959,418
Warm bench,960,1023,491
Warm bench,1024,1151,2069
Warm bench,1152,1279,2358
Warm bench,1280,1407,657
Warm bench,1408,1535,208
Warm bench,1536,1663,72
Warm bench,1664,1791,32
Warm bench,1792,1919,19
Warm bench,1920,2047,10
Warm bench,2048,2303,21
Warm bench,2304,2559,5
Warm bench,2560,2815,5
Warm bench,2816,3071,2
Warm bench,3072,3327,5
Warm bench,3328,3583,1
Warm bench,3584,3839,7
Warm bench,3840,4095,5
Warm bench,4096,4607,13
Warm bench,4608,5119,4
Warm bench,5120,5631,5
Warm bench,5632,6143,4
Warm bench,6144,6655,4
Warm bench,6656,7167,5
Warm bench,7168,7679,5
Warm bench,7680,8191,4
Warm bench,8192,9215,13
Warm bench,9216,10239,14
Warm bench,10240,11263,24
Warm bench,11264,12287,16
Warm bench,12288,13311,12
Warm bench,13312,14335,5
Warm bench,14336,15359,6
Warm bench,16384,18431,3
Warm bench,18432,20479,1
Warm bench,20480,22527,1
Warm bench,22528,24575,2
Warm bench,40960,45055,1
Warm bench,57344,61439,2
Warm bench,245760,262143,2
Warm bench,262144,294911,1
Cold bench,0,0,256
Cold bench,40,43,764
Cold bench,80,87,505
Cold bench,120,127,467
Cold bench,160,175,599
Cold bench,208,223,579
Cold bench,240,255,565
Cold bench,288,319,544
Cold bench,320,351,538
Cold bench,352,383,536
Cold bench,416,447,525
Cold bench,448,479,491
Cold bench,480,511,457
Cold bench,512,575,432
Cold bench,576,639,755
Cold bench,640,703,342
Cold bench,704,767,476
Cold bench,768,831,197
Cold bench,832,895,267
Cold bench,896,959,204
Cold bench,960,1023,79
Cold bench,1024,1151,158
Cold bench,1152,1279,71
Cold bench,1280,1407,36
Cold bench,1408,1535,24
Cold bench,1536,1663,13
Cold bench,1664,1791,1
Cold bench,1792,1919,8
Cold bench,1920,2047,2
Cold bench,2048,2303,6
Cold bench,2304,2559,3
Cold bench,2560,2815,3
Cold bench,2816,3071,2
Cold bench,3072,3327,1
Cold bench,3328,3583,4
Cold bench,3584,3839,2
Cold bench,3840,4095,1
Cold bench,4096,4607,8
Cold bench,4608,5119,3
Cold bench,5120,5631,9
Cold bench,5632,6143,11
Cold bench,6144,6655,9
Cold bench,6656,7167,12
Cold bench,7168,7679,6
Cold bench,7680,8191,2
Cold bench,8192,9215,12
Cold bench,9216,10239,5
Cold bench,10240,11263,1
Cold bench,12288,13311,2
Cold bench,13312,14335,1
Cold bench,20480,22527,2
Cold bench,122880,131071,1
Cold bench,131072,147455,1
Cold bench,245760,262143,1
Cold bench,2097152,2359295,1
Warm bench,0,0,228
Warm bench,40,43,228
Warm bench,80,87,52
Warm bench,120,127,1334
Warm bench,160,175,3363
Warm bench,208,223,2554
Warm bench,240,255,1103
Warm bench,288,319,552
Warm bench,320,351,237
Warm bench,352,383,119
Warm bench,416,447,52
Warm bench,448,479,38
Warm bench,480,511,17
Warm bench,512,575,8
Warm bench,576,639,9
Warm bench,640,703,6
Warm bench,704,767,8
Warm bench,768,831,2
Warm bench,832,895,4
Warm bench,896,959,1
Warm bench,960,1023,1
Warm bench,1152,1279,3
Warm bench,1536,1663,1
Warm bench,1664,1791,2
Warm bench,1792,1919,4
Warm bench,1920,2047,7
Warm bench,2048,2303,13
Warm bench,2304,2559,8
Warm bench,2560,2815,3
Warm bench,2816,3071,5
Warm bench,3072,3327,2
Warm bench,3328,3583,2
Warm bench,3584,3839,1
Warm bench,3840,4095,2
Warm bench,4608,5119,4
Warm bench,5120,5631,1
Warm bench,5632,6143,2
Warm bench,6144,6655,3
Warm bench,6656,7167,1
Warm bench,8192,9215,2
Warm bench,9216,10239,1
Warm bench,10240,11263,1
Warm bench,11264,12287,3
Warm bench,13312,14335,1
Warm bench,16384,18431,2
Warm bench,18432,20479,1
Warm bench,26624,28671,1
Warm bench,40960,45055,1
Warm bench,57344,61439,1
Warm bench,61440,65535,1
Warm bench,65536,73727,1
Warm bench,163840,180223,2
Warm bench,245760,262143,1
Warm bench,360448,393215,1
