name,lower_ns,upper_ns,count
Cold bench,0,0,67
Cold bench,40,43,338
Cold bench,80,87,633
Cold bench,120,127,458
Cold bench,160,175,731
Cold bench,208,223,619
Cold bench,240,255,623
Cold bench,288,319,547
Cold bench,320,351,507
Cold bench,352,383,506
Cold bench,416,447,482
Cold bench,448,479,462
Cold bench,480,511,434
Cold bench,512,575,403
Cold bench,576,639,694
Cold bench,640,703,297
Cold bench,704,767,524
Cold bench,768,831,244
Cold bench,832,895,331
Cold bench,896,959,237
Cold bench,960,1023,108
Cold bench,1024,1151,257
Cold bench,1152,1279,152
Cold bench,1280,1407,90
Cold bench,1408,1535,55
Cold bench,1536,1663,34
Cold bench,1664,1791,19
Cold bench,1792,1919,10
Cold bench,1920,2047,6
Cold bench,2048,2303,15
Cold bench,2304,2559,6
Cold bench,2560,2815,9
Cold bench,2816,3071,11
Cold bench,3072,3327,7
Cold bench,3328,3583,7
Cold bench,3584,3839,7
Cold bench,3840,4095,4
Cold bench,4096,4607,5
Cold bench,4608,5119,10
Cold bench,5120,5631,9
Cold bench,5632,6143,9
Cold bench,6144,6655,13
Cold bench,6656,7167,8
Cold bench,7168,7679,2
Cold bench,7680,8191,2
Cold bench,8192,9215,4
Cold bench,10240,11263,1
Cold bench,14336,15359,1
Cold bench,16384,18431,1
Cold bench,81920,90111,1
Warm bench,0,0,350
Warm bench,40,43,2466
Warm bench,80,87,5008
Warm bench,120,127,1722
Warm bench,160,175,296
Warm bench,208,223,61
Warm bench,240,255,16
Warm bench,288,319,6
Warm bench,352,383,1
Warm bench,448,479,2
Warm bench,512,575,1
Warm bench,576,639,2
Warm bench,704,767,6
Warm bench,768,831,3
Warm bench,832,895,17
Warm bench,896,959,14
Warm bench,960,1023,3
Warm bench,1024,1151,10
Warm bench,1152,1279,5
Warm bench,1280,1407,2
Warm bench,1664,1791,2
Warm bench,2560,2815,2
Warm bench,3840,4095,1
Warm bench,4608,5119,1
Warm bench,5120,5631,1
Warm bench,8192,9215,1
Warm bench,20480,22527,1
