name,lower_ns,upper_ns,count
Cold bench,0,0,57
Cold bench,40,43,234
Cold bench,80,87,123
Cold bench,120,127,97
Cold bench,160,175,91
Cold bench,208,223,63
Cold bench,240,255,76
Cold bench,288,319,49
Cold bench,320,351,51
Cold bench,352,383,50
Cold bench,416,447,60
Cold bench,448,479,91
Cold bench,480,511,64
Cold bench,512,575,88
Cold bench,576,639,175
Cold bench,640,703,95
Cold bench,704,767,153
Cold bench,768,831,90
Cold bench,832,895,183
Cold bench,896,959,183
Cold bench,960,1023,105
Cold bench,1024,1151,267
Cold bench,1152,1279,234
Cold bench,1280,1407,177
Cold bench,1408,1535,133
Cold bench,1536,1663,91
Cold bench,1664,1791,75
Cold bench,1792,1919,51
Cold bench,1920,2047,32
Cold bench,2048,2303,107
Cold bench,2304,2559,282
Cold bench,2560,2815,600
Cold bench,2816,3071,904
Cold bench,3072,3327,1131
Cold bench,3328,3583,1047
Cold bench,3584,3839,756
Cold bench,3840,4095,430
Cold bench,4096,4607,501
Cold bench,4608,5119,184
Cold bench,5120,5631,157
Cold bench,5632,6143,123
Cold bench,6144,6655,72
Cold bench,6656,7167,71
Cold bench,7168,7679,50
Cold bench,7680,8191,49
Cold bench,8192,9215,97
Cold bench,9216,10239,60
Cold bench,10240,11263,44
Cold bench,11264,12287,28
Cold bench,12288,13311,17
Cold bench,13312,14335,15
Cold bench,14336,15359,9
Cold bench,15360,16383,4
Cold bench,16384,18431,9
Cold bench,18432,20479,3
Cold bench,20480,22527,1
Cold bench,22528,24575,1
Cold bench,26624,28671,2
Cold bench,30720,32767,1
Cold bench,32768,36863,3
Cold bench,40960,45055,1
Cold bench,81920,90111,1
Cold bench,524288,589823,1
Cold bench,786432,851967,1
Warm bench,0,0,186
Warm bench,40,43,212
Warm bench,80,87,135
Warm bench,120,127,272
Warm bench,160,175,414
Warm bench,208,223,516
Warm bench,240,255,395
Warm bench,288,319,272
Warm bench,320,351,173
Warm bench,352,383,152
Warm bench,416,447,132
Warm bench,448,479,134
Warm bench,480,511,120
Warm bench,512,575,66
Warm bench,576,639,112
Warm bench,640,703,26
Warm bench,704,767,64
Warm bench,768,831,15
Warm bench,832,895,14
Warm bench,896,959,26
Warm bench,960,1023,87
Warm bench,1024,1151,773
Warm bench,1152,1279,341
Warm bench,1280,1407,89
Warm bench,1408,1535,20
Warm bench,1536,1663,12
Warm bench,1664,1791,5
Warm bench,1792,1919,3
Warm bench,1920,2047,102
Warm bench,2048,2303,464
Warm bench,2304,2559,830
Warm bench,2560,2815,1899
Warm bench,2816,3071,1189
Warm bench,3072,3327,400
Warm bench,3328,3583,142
Warm bench,3584,3839,57
Warm bench,3840,4095,34
Warm bench,4096,4607,23
Warm bench,4608,5119,8
Warm bench,5120,5631,14
Warm bench,5632,6143,9
Warm bench,6144,6655,9
Warm bench,6656,7167,5
Warm bench,7168,7679,6
Warm bench,7680,8191,2
Warm bench,8192,9215,6
Warm bench,9216,10239,5
Warm bench,10240,11263,4
Warm bench,11264,12287,3
Warm bench,12288,13311,1
Warm bench,13312,14335,7
Warm bench,14336,15359,3
Warm bench,15360,16383,1
Warm bench,18432,20479,2
Warm bench,20480,22527,1
Warm bench,24576,26623,1
Warm bench,26624,28671,1
Warm bench,28672,30719,1
Warm bench,30720,32767,1
Warm bench,65536,73727,1
Warm bench,196608,212991,1
Warm bench,262144,294911,1
Warm bench,327680,360447,1
Cold bench,0,0,197
Cold bench,40,43,584
Cold bench,80,87,463
Cold bench,120,127,366
Cold bench,160,175,391
Cold bench,208,223,349
Cold bench,240,255,342
Cold bench,288,319,330
Cold bench,320,351,314
Cold bench,352,383,352
Cold bench,416,447,357
Cold bench,448,479,368
Cold bench,480,511,380
Cold bench,512,575,336
Cold bench,576,639,727
Cold bench,640,703,334
Cold bench,704,767,646
Cold bench,768,831,304
Cold bench,832,895,583
Cold bench,896,959,509
Cold bench,960,1023,213
Cold bench,1024,1151,520
Cold bench,1152,1279,316
Cold bench,1280,1407,246
Cold bench,1408,1535,132
Cold bench,1536,1663,56
Cold bench,1664,1791,43
Cold bench,1792,1919,26
Cold bench,1920,2047,16
Cold bench,2048,2303,21
Cold bench,2304,2559,17
Cold bench,2560,2815,24
Cold bench,2816,3071,14
Cold bench,3072,3327,11
Cold bench,3328,3583,9
Cold bench,3584,3839,5
Cold bench,3840,4095,6
Cold bench,4096,4607,7
Cold bench,4608,5119,9
Cold bench,5120,5631,5
Cold bench,5632,6143,6
Cold bench,6144,6655,12
Cold bench,6656,7167,11
Cold bench,7168,7679,6
Cold bench,7680,8191,9
Cold bench,8192,9215,5
Cold bench,9216,10239,8
Cold bench,10240,11263,3
Cold bench,11264,12287,2
Cold bench,12288,13311,3
Cold bench,13312,14335,1
Cold bench,15360,16383,1
Cold bench,32768,36863,1
Cold bench,114688,122879,1
Cold bench,524288,589823,1
Cold bench,589824,655359,1
Cold bench,720896,786431,1
Warm bench,0,0,178
Warm bench,40,43,269
Warm bench,80,87,25
Warm bench,120,127,429
Warm bench,160,175,2031
Warm bench,208,223,2913
Warm bench,240,255,2285
Warm bench,288,319,1001
Warm bench,320,351,471
Warm bench,352,383,153
Warm bench,416,447,71
Warm bench,448,479,33
Warm bench,480,511,20
Warm bench,512,575,14
Warm bench,576,639,8
Warm bench,640,703,3
Warm bench,704,767,5
Warm bench,768,831,3
Warm bench,832,895,3
Warm bench,896,959,2
Warm bench,960,1023,3
Warm bench,1024,1151,1
Warm bench,1152,1279,2
Warm bench,1536,1663,2
Warm bench,1664,1791,2
Warm bench,1792,1919,3
Warm bench,1920,2047,2
Warm bench,2048,2303,7
Warm bench,2304,2559,17
Warm bench,2560,2815,11
Warm bench,2816,3071,10
Warm bench,3072,3327,2
Warm bench,3328,3583,2
Warm bench,3584,3839,1
Warm bench,3840,4095,1
Warm bench,4096,4607,2
Warm bench,4608,5119,1
Warm bench,5120,5631,2
Warm bench,5632,6143,2
Warm bench,6656,7167,1
Warm bench,7168,7679,1
Warm bench,7680,8191,1
Warm bench,12288,13311,1
Warm bench,13312,14335,1
Warm bench,18432,20479,1
Warm bench,61440,65535,1
Warm bench,245760,262143,1
Warm bench,262144,294911,2
