name,lower_ns,upper_ns,count
Cold bench,1408,1535,1
Cold bench,1536,1663,17
Cold bench,1664,1791,82
Cold bench,1792,1919,164
Cold bench,1920,2047,290
Cold bench,2048,2303,861
Cold bench,2304,2559,1266
Cold bench,2560,2815,1587
Cold bench,2816,3071,1627
Cold bench,3072,3327,1322
Cold bench,3328,3583,924
Cold bench,3584,3839,482
Cold bench,3840,4095,226
Cold bench,4096,4607,234
Cold bench,4608,5119,179
Cold bench,5120,5631,153
Cold bench,5632,6143,88
Cold bench,6144,6655,88
Cold bench,6656,7167,66
Cold bench,7168,7679,51
Cold bench,7680,8191,50
Cold bench,8192,9215,83
Cold bench,9216,10239,54
Cold bench,10240,11263,27
Cold bench,11264,12287,17
Cold bench,12288,13311,17
Cold bench,13312,14335,10
Cold bench,14336,15359,4
Cold bench,15360,16383,3
Cold bench,16384,18431,6
Cold bench,18432,20479,3
Cold bench,20480,22527,1
Cold bench,22528,24575,2
Cold bench,24576,26623,2
Cold bench,26624,28671,2
Cold bench,28672,30719,1
Cold bench,30720,32767,3
Cold bench,32768,36863,1
Cold bench,40960,45055,2
Cold bench,45056,49151,1
Cold bench,81920,90111,1
Cold bench,786432,851967,1
Cold bench,2359296,2621439,1
Warm bench,0,0,96
Warm bench,40,43,105
Warm bench,576,639,1
Warm bench,704,767,33
Warm bench,768,831,45
Warm bench,832,895,53
Warm bench,896,959,43
Warm bench,960,1023,47
Warm bench,1024,1151,337
Warm bench,1152,1279,99
Warm bench,1280,1407,83
Warm bench,1408,1535,209
Warm bench,1536,1663,289
Warm bench,1664,1791,512
Warm bench,1792,1919,921
Warm bench,1920,2047,765
Warm bench,2048,2303,1443
Warm bench,2304,2559,1467
Warm bench,2560,2815,1773
Warm bench,2816,3071,1026
Warm bench,3072,3327,297
Warm bench,3328,3583,104
Warm bench,3584,3839,38
Warm bench,3840,4095,23
Warm bench,4096,4607,30
Warm bench,4608,5119,29
Warm bench,5120,5631,22
Warm bench,5632,6143,8
Warm bench,6144,6655,8
Warm bench,6656,7167,11
Warm bench,7168,7679,4
Warm bench,7680,8191,7
Warm bench,8192,9215,13
Warm bench,9216,10239,8
Warm bench,10240,11263,8
Warm bench,11264,12287,7
Warm bench,12288,13311,6
Warm bench,13312,14335,6
Warm bench,14336,15359,4
Warm bench,15360,16383,3
Warm bench,16384,18431,2
Warm bench,18432,20479,4
Warm bench,20480,22527,2
Warm bench,22528,24575,2
Warm bench,28672,30719,1
Warm bench,30720,32767,1
Warm bench,49152,53247,1
Warm bench,57344,61439,1
Warm bench,212992,229375,1
Warm bench,262144,294911,1
Warm bench,360448,393215,1
